City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Le Moule,16.33,-61.35,75.2,88,100,2.24,GP,1603956416
Palmer,42.16,-72.33,46.99,100,90,1.48,US,1603956416
Yanam,16.73,82.22,89.58,40,5,7.36,IN,1603956418
Souillac,-20.52,57.52,80.01,57,17,8.99,MU,1603956418
Nizhniy Baskunchak,48.22,46.83,50.67,47,66,16.91,RU,1603956419
Laas,46.62,10.7,37.4,86,75,4.7,IT,1603956069
Princeton,25.54,-80.41,81.0,83,75,6.93,US,1603956421
La Peca,-5.61,-78.44,69.31,77,69,1.95,PE,1603956421
Mt. Pleasant,32.79,-79.86,77.0,94,40,10.29,US,1603956421
Nago,26.59,127.98,80.01,65,90,5.82,JP,1603956422
Manakara,-22.13,48.02,75.36,81,34,11.92,MG,1603956422
Dakar,14.69,-17.44,78.8,94,43,4.7,SN,1603956225
Woodward,36.43,-99.39,35.01,97,90,20.8,US,1603956423
Paidha,2.42,30.99,67.64,84,89,6.53,UG,1603956423
Hobyo,5.35,48.53,82.04,67,99,4.94,SO,1603956424
Atbasar,51.8,68.33,37.67,76,0,13.73,KZ,1603956424
Nyazepetrovsk,56.05,59.6,34.47,84,100,13.47,RU,1603956424
Son Tay,21.14,105.5,73.4,69,75,14.99,VN,1603956424
San Ignacio,17.16,-89.07,75.2,94,75,2.13,BZ,1603956425
Naushki,50.38,106.11,43.93,57,36,6.04,RU,1603956425
George Town,5.41,100.34,87.8,70,20,3.36,MY,1603955899
Banjarmasin,-3.32,114.59,90.63,55,100,3.02,ID,1603956426
Severobaykal'sk,55.65,109.32,34.99,84,96,2.51,RU,1603956427
Maraã,-1.83,-65.37,76.23,94,100,1.79,BR,1603956428
High Level,58.52,-117.14,24.8,100,90,4.7,CA,1603956052
Hunchun,42.87,130.36,48.16,45,0,10.8,CN,1603956429
Bairiki Village,1.33,172.98,82.4,74,40,3.36,KI,1603956208
Lorengau,-2.02,147.27,83.93,74,10,2.33,PG,1603956097
Chapais,49.78,-74.85,23.0,92,90,8.05,CA,1603956430
Olinda,-8.01,-34.86,78.8,74,40,5.82,BR,1603956431
Caldwell,43.66,-116.69,39.99,74,1,2.15,US,1603956176
Makkah al Mukarramah,21.43,39.83,89.02,24,0,4.09,SA,1603956140
Buala,-8.14,159.59,80.01,82,100,1.1,SB,1603956432
Nhulunbuy,-12.23,136.77,87.8,52,97,16.11,AU,1603956432
Arlit,18.74,7.39,78.85,16,0,5.95,NE,1603956100
Matola,-25.96,32.46,81.0,65,20,10.29,MZ,1603956433
Lata,40.16,-8.33,53.01,93,20,4.7,PT,1603956433
Raudeberg,61.99,5.14,46.0,95,97,5.82,NO,1603956434
Zig,40.13,-92.77,42.01,62,1,4.7,US,1603956435
Poum,-20.23,164.02,77.25,75,50,15.68,NC,1603956424
Naze,28.37,129.48,77.0,69,75,9.17,JP,1603956437
Kahului,20.89,-156.47,80.6,69,75,10.29,US,1603956112
Bāglung,28.27,83.59,78.96,25,0,5.3,NP,1603956438
Kapoeta,4.77,33.59,85.87,45,0,22.39,SS,1603956439
Qaqortoq,60.72,-46.03,30.2,80,100,4.7,GL,1603956439
Lompoc,34.64,-120.46,55.0,56,1,3.36,US,1603956063
Bintulu,3.17,113.03,89.6,66,20,6.93,MY,1603956440
Greenwood,34.17,-82.12,72.0,94,90,13.87,US,1603956440
Swedru,5.54,-0.7,75.2,100,16,5.82,GH,1603956441
San Policarpo,12.18,125.51,81.82,83,100,8.63,PH,1603956441
Thompson,55.74,-97.86,-4.0,83,5,3.36,CA,1603956055
Amherst,41.4,-82.22,46.4,81,90,3.36,US,1603956442
Chifeng,42.27,118.96,55.42,32,46,2.95,CN,1603956442
Sampit,-2.53,112.95,92.32,54,99,1.25,ID,1603956442
Mastic Beach,40.77,-72.85,54.0,87,40,5.06,US,1603956442
Esna,25.29,32.55,75.2,69,0,2.24,EG,1603956443
Breves,-1.68,-50.48,75.56,88,9,4.32,BR,1603956443
College,64.86,-147.8,19.4,85,90,0.67,US,1603956086
Mariental,-24.63,17.97,75.88,29,86,7.11,NA,1603956445
Faanui,-16.48,-151.75,79.75,80,11,8.66,PF,1603956081
Impfondo,1.64,18.07,72.57,96,100,1.57,CG,1603956446
Eureka,40.8,-124.16,48.2,81,1,4.7,US,1603956011
Porto-Novo,6.5,2.6,77.0,100,40,3.36,BJ,1603956446
Shagonar,51.53,92.8,37.56,76,100,2.46,RU,1603956447
Yeppoon,-23.13,150.73,89.6,47,0,10.29,AU,1603956448
Hattiesburg,31.33,-89.29,73.4,94,90,6.93,US,1603956412
Tura,25.52,90.22,85.55,66,50,2.19,IN,1603956073
West Plains,36.73,-91.85,50.0,93,90,12.75,US,1603956448
Beloha,-25.17,45.05,83.34,45,6,17.2,MG,1603956102
Dicabisagan,17.08,122.42,83.93,74,63,9.04,PH,1603956188
Bangangté,5.14,10.52,65.1,97,100,0.49,CM,1603956451
Beringovskiy,63.05,179.32,26.15,88,0,9.6,RU,1603956451
Kraksaan,-7.76,113.4,88.02,61,30,6.22,ID,1603956451
Pisco,-13.7,-76.22,61.0,87,0,8.05,PE,1603956060
Massaguet,12.48,15.44,80.6,28,4,11.41,TD,1603956452
Mairi,-11.71,-40.15,71.01,95,100,8.81,BR,1603956452
Sioux Lookout,50.1,-91.92,17.6,78,90,5.82,CA,1603956452
Turukhansk,65.82,87.98,17.53,95,100,16.58,RU,1603956453
Pryazha,61.69,33.62,48.2,81,40,6.71,RU,1603956453
Coyah,9.75,-13.42,78.8,94,40,2.24,GN,1603956453
Sibu,2.3,111.82,82.4,83,40,9.17,MY,1603956453
Oro Valley,32.39,-110.97,50.0,40,0,1.99,US,1603956192
Katherine,-14.47,132.27,98.6,18,40,12.75,AU,1603956454
Ofakim,31.31,34.62,79.0,21,100,1.01,IL,1603956454
Akdepe,42.06,59.38,48.2,45,0,18.34,TM,1603956455
Vila Velha,-20.33,-40.29,81.0,78,90,12.75,BR,1603956077
Bemidji,47.47,-94.88,28.99,68,90,4.7,US,1603956455
Sakaiminato,35.55,133.23,62.6,55,75,11.41,JP,1603956456
Rupert,42.62,-113.68,33.8,64,1,3.36,US,1603956456
Tigil',57.8,158.67,33.03,89,0,6.96,RU,1603956456
Logansport,40.75,-86.36,44.6,100,90,3.87,US,1603956343
Alyangula,-13.85,136.42,93.2,36,0,11.41,AU,1603956458
Zagora,30.35,-5.84,64.18,34,78,1.54,MA,1603956458
Laguna,38.42,-121.42,51.01,66,0,1.7,US,1603956392
Shimoda,34.67,138.95,68.0,52,20,5.82,JP,1603956458
Kamina,-8.74,24.99,75.47,75,100,3.02,CD,1603956458
Morondava,-20.28,44.28,85.84,54,0,7.61,MG,1603956459
Bengkulu,-3.8,102.27,83.55,70,100,7.07,ID,1603956095
Kloulklubed,7.04,134.26,86.0,74,75,8.05,PW,1603956460
Muros,42.78,-9.06,55.99,93,25,1.01,ES,1603956461
Kargasok,59.06,80.86,14.0,92,30,8.43,RU,1603956461
Kokopo,-4.35,152.26,81.59,82,100,3.62,PG,1603956461
Havre-St-Pierre,50.23,-63.6,28.4,92,90,3.36,CA,1603956437
Altay,47.87,88.12,36.84,70,100,8.84,CN,1603956056
Morón,-34.65,-58.62,55.0,99,0,1.01,AR,1603956462
Vaitape,-16.52,-151.75,80.64,78,11,8.7,PF,1603956462
